filename,width,height,class,xmin,ymin,xmax,ymax
233805.jpg,612,408,Mei_Goreng,21,10,594,389
234481.jpg,612,407,Mei_Goreng,24,16,581,390
234362.jpg,500,332,Mei_Goreng,117,4,495,280
233694.jpg,577,433,Mei_Goreng,7,9,562,404
234763.jpg,640,360,Mei_Goreng,16,24,628,354
233743.jpg,587,425,Mei_Goreng,18,33,581,389
231993.jpg,577,433,Mei_Goreng,10,5,560,418
317834.jpg,578,432,Mei_Goreng,124,66,561,419
318116.jpg,500,500,Mei_Goreng,7,31,478,468
235290.jpg,500,500,Mei_Goreng,18,47,470,489
232479.jpg,612,408,Mei_Goreng,30,28,600,387
235059.jpg,577,433,Mei_Goreng,28,19,557,418
233451.jpg,335,500,Mei_Goreng,8,4,320,479
234492.jpg,500,333,Mei_Goreng,62,38,467,312
318344.jpg,497,502,Mei_Goreng,20,33,475,478
234230.jpg,577,433,Mei_Goreng,111,46,542,420
235735.jpg,612,408,Mei_Goreng,15,18,590,397
233733.jpg,500,500,Mei_Goreng,12,22,476,483
233495.jpg,500,404,Mei_Goreng,25,16,468,393
271138.jpg,577,433,Mei_Goreng,23,10,571,423
271147.jpg,500,333,Mei_Goreng,48,22,459,301
234474.jpg,433,577,Mei_Goreng,5,19,428,562
234022.jpg,574,434,Mei_Goreng,32,27,523,386
317835.jpg,500,500,Mei_Goreng,21,20,478,466
233881.jpg,612,407,Mei_Goreng,5,44,529,401
234486.jpg,500,332,Mei_Goreng,31,22,482,322
318437.jpg,500,500,Mei_Goreng,14,14,473,479
233219.jpg,577,433,Mei_Goreng,25,28,567,400
317841.jpg,500,500,Mei_Goreng,29,45,462,464
317876.jpg,433,577,Mei_Goreng,17,110,426,519
317790.jpg,578,432,Mei_Goreng,54,43,525,379
235560.jpg,607,411,Mei_Goreng,79,49,570,342
235181.jpg,500,332,Mei_Goreng,42,30,484,314
271136.jpg,433,577,Mei_Goreng,20,57,416,478
271130.jpg,433,577,Mei_Goreng,25,62,405,562
318283.jpg,577,433,Mei_Goreng,28,34,555,400
234837.jpg,577,433,Mei_Goreng,66,81,558,422
231902.jpg,612,408,Mei_Goreng,15,13,598,396
271146.jpg,593,421,Mei_Goreng,37,19,567,410
233303.jpg,577,433,Mei_Goreng,41,28,539,413
234082.jpg,375,500,Mei_Goreng,15,14,345,470
234552.jpg,500,375,Mei_Goreng,25,10,496,351
234188.jpg,577,433,Mei_Goreng,84,34,515,423
234696.jpg,577,433,Mei_Goreng,14,23,551,404
235407.jpg,577,433,Mei_Goreng,50,30,537,405
235639.jpg,577,433,Mei_Goreng,36,48,530,407
232337.jpg,612,408,Mei_Goreng,5,5,600,399
232021.jpg,577,433,Mei_Goreng,28,5,549,418
318045.jpg,500,500,Mei_Goreng,32,22,465,485
317830.jpg,432,578,Mei_Goreng,28,62,394,440
232414.jpg,577,433,Mei_Goreng,3,32,569,427
233949.jpg,612,408,Mei_Goreng,7,10,596,392
271148.jpg,500,375,Mei_Goreng,18,6,492,370
234310.jpg,577,433,Mei_Goreng,28,16,540,395
318318.jpg,433,577,Mei_Goreng,39,103,405,468
234183.jpg,577,433,Mei_Goreng,37,12,560,404
231875.jpg,611,408,Mei_Goreng,22,23,591,389
317719.jpg,433,577,Mei_Goreng,36,93,393,492
317923.jpg,500,500,Mei_Goreng,29,58,451,468
271131.jpg,575,434,Mei_Goreng,34,23,546,396
318087.jpg,500,500,Mei_Goreng,12,25,493,479
235191.jpg,577,433,Mei_Goreng,77,14,506,409
318032.jpg,500,500,Mei_Goreng,25,22,450,485
271132.jpg,569,438,Mei_Goreng,33,31,542,390
234139.jpg,338,500,Mei_Goreng,15,102,322,481
233787.jpg,500,375,Mei_Goreng,15,48,481,356
318487.jpg,500,500,Mei_Goreng,37,72,418,422
318390.jpg,500,500,Mei_Goreng,25,29,479,481
317980.jpg,500,500,Mei_Goreng,23,20,492,491
317805.jpg,500,500,Mei_Goreng,20,12,471,454
318453.jpg,500,500,Mei_Goreng,26,25,484,466
234794.jpg,612,408,Mei_Goreng,28,15,592,394
233860.jpg,400,300,Mei_Goreng,12,18,395,293
234902.jpg,500,500,Mei_Goreng,10,22,460,466
234091.jpg,500,375,Mei_Goreng,17,59,462,339
317909.jpg,577,433,Mei_Goreng,28,37,567,411
271135.jpg,545,457,Mei_Goreng,45,13,519,434
234615.jpg,577,433,Mei_Goreng,37,30,546,411
234163.jpg,577,433,Mei_Goreng,72,55,555,425
317776.jpg,432,578,Mei_Goreng,9,24,407,553
234525.jpg,500,375,Mei_Goreng,15,9,482,362
235551.jpg,607,411,Mei_Goreng,41,59,569,363
235615.jpg,572,437,Mei_Goreng,75,60,559,413
