filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,800,600,Rice,0,143,370,486
2.jpg,800,600,Rice,20,208,582,559
3.jpg,800,600,Rice,2,110,243,410
4.jpg,800,600,Rice,0,237,286,536
5.jpg,800,600,Rice,8,28,761,585
6.jpg,800,450,Rice,0,38,369,310
7.jpg,800,450,Rice,0,162,383,450
8.jpg,800,600,Rice,80,31,776,454
9.jpg,800,600,Rice,2,226,270,470
10.jpg,700,467,Rice,71,16,478,328
12.jpg,800,600,Rice,94,150,669,567
13.jpg,640,480,Rice,0,109,344,480
14.jpg,800,600,Rice,0,337,240,600
17.jpg,414,622,Rice,0,33,414,486
18.jpg,500,375,Rice,267,158,470,357
19.jpg,500,375,Rice,352,135,500,326
20.jpg,800,600,Rice,0,154,457,542
21.jpg,500,375,Rice,8,5,456,285
22.jpg,500,375,Rice,310,200,500,375
23.jpg,500,375,Rice,0,62,252,250
24.jpg,640,547,Rice,0,146,640,547
25.jpg,640,480,Rice,228,270,449,480
26.jpg,500,375,Rice,255,125,466,292
27.jpg,600,391,Rice,355,23,594,239
28.jpg,500,335,Rice,11,135,180,263
29.jpg,640,480,Rice,1,1,564,480
30.jpg,500,375,Rice,7,87,203,250
31.jpg,382,502,Rice,12,230,233,399
33.jpg,500,375,Rice,10,133,217,318
34.jpg,640,480,Rice,76,41,516,448
35.jpg,500,375,Rice,268,130,487,351
36.jpg,500,375,Rice,36,25,430,345
37.jpg,448,336,Rice,266,18,448,224
38.jpg,531,450,Rice,270,240,437,382
39.jpg,480,800,Rice,4,128,480,694
41.jpg,640,480,Rice,0,80,396,434
42.jpg,640,480,Rice,0,0,636,473
44.jpg,500,375,Rice,42,11,450,355
45.jpg,500,375,Rice,43,16,400,353
50.jpg,600,400,Rice,195,181,493,400
51.jpg,500,375,Rice,0,0,500,375
52.jpg,500,375,Rice,198,57,500,343
53.jpg,432,650,Rice,0,0,432,425
58.jpg,640,480,Rice,0,164,302,468
59.jpg,640,480,Rice,354,169,640,420
60.jpg,800,600,Rice,0,9,800,600
61.jpg,500,333,Rice,0,122,228,315
62.jpg,450,300,Rice,0,77,372,300
63.jpg,334,500,Rice,0,135,334,493
64.jpg,600,450,Rice,0,0,600,450
65.jpg,281,500,Rice,0,155,281,457
66.jpg,640,749,Rice,0,39,640,737
67.jpg,640,480,Rice,0,0,640,480
68.jpg,600,399,Rice,0,0,513,346
69.jpg,449,337,Rice,8,12,431,315
70.jpg,480,360,Rice,0,0,480,360
71.jpg,800,600,Rice,47,0,800,600
