filename,width,height,class,xmin,ymin,xmax,ymax
1267359.jpg,384,512,Pizza,3,135,341,509
765799.jpg,511,512,Pizza,29,150,499,512
741491.jpg,512,512,Pizza,41,24,512,451
2253670.jpg,512,512,Pizza,29,35,512,498
2902766.jpg,512,384,Pizza,31,36,493,362
300157.jpg,512,382,Pizza,221,59,512,321
179165.jpg,382,512,Pizza,5,107,360,504
3392649.jpg,512,384,Pizza,63,41,470,312
415551.jpg,512,382,Pizza,11,35,422,337
2574896.jpg,512,289,Pizza,111,31,397,260
662526.jpg,512,512,Pizza,4,84,501,384
242813.jpg,383,512,Pizza,8,90,340,376
495892.jpg,512,384,Pizza,70,24,422,371
875856.jpg,512,306,Pizza,1,23,475,249
614236.jpg,512,384,Pizza,163,47,492,356
1663749.jpg,512,512,Pizza,1,58,512,489
413710.jpg,512,512,Pizza,42,115,458,396
2003290.jpg,512,384,Pizza,41,40,494,344
2098014.jpg,512,384,Pizza,33,41,390,324
1205154.jpg,512,512,Pizza,37,31,433,512
344397.jpg,512,342,Pizza,10,1,505,290
3326344.jpg,512,512,Pizza,38,65,496,440
83538.jpg,512,384,Pizza,35,79,488,360
872094.jpg,512,512,Pizza,23,98,512,463
61822.jpg,512,341,Pizza,11,26,496,317
139987.jpg,512,384,Pizza,17,28,453,353
3314176.jpg,512,512,Pizza,1,53,512,424
3039549.jpg,512,384,Pizza,1,37,471,370
3042459.jpg,512,512,Pizza,7,12,488,492
3473991.jpg,512,512,Pizza,12,47,499,392
56449.jpg,384,512,Pizza,30,71,384,378
3382880.jpg,289,512,Pizza,24,87,277,490
3464027.jpg,512,512,Pizza,5,17,512,499
1620761.jpg,512,512,Pizza,51,14,457,512
1048649.jpg,512,512,Pizza,95,37,499,478
34632.jpg,512,384,Pizza,1,74,506,384
1524599.jpg,510,512,Pizza,89,1,488,496
1600705.jpg,512,512,Pizza,11,129,477,439
2279642.jpg,512,512,Pizza,4,13,512,458
393658.jpg,512,383,Pizza,109,130,322,364
309892.jpg,512,333,Pizza,108,22,424,227
2971095.jpg,512,512,Pizza,1,23,511,508
1950499.jpg,384,512,Pizza,1,56,331,477
1001116.jpg,512,512,Pizza,16,49,512,500
1507039.jpg,512,384,Pizza,20,1,365,253
1507039.jpg,512,384,Pizza,24,131,490,384
3173779.jpg,512,512,Pizza,1,5,501,463
556507.jpg,512,341,Pizza,79,21,433,341
3586083.jpg,512,512,Pizza,17,14,512,488
2005870.jpg,512,384,Pizza,78,35,460,329
44810.jpg,512,384,Pizza,1,83,510,354
465454.jpg,384,512,Pizza,22,74,384,492
2331467.jpg,512,306,Pizza,55,20,511,282
3644733.jpg,512,512,Pizza,98,4,486,451
299535.jpg,512,382,Pizza,274,46,512,359
299535.jpg,512,382,Pizza,7,46,260,378
1906287.jpg,512,512,Pizza,66,74,492,463
1280320.jpg,512,406,Pizza,27,63,498,402
666569.jpg,512,384,Pizza,98,100,422,267
1654444.jpg,512,289,Pizza,16,119,222,285
1654444.jpg,512,289,Pizza,264,111,468,271
1654444.jpg,512,289,Pizza,77,13,229,92
1654444.jpg,512,289,Pizza,246,8,402,97
1618659.jpg,512,512,Pizza,38,112,467,425
98617.jpg,384,512,Pizza,2,224,371,509
3475871.jpg,512,512,Pizza,38,96,490,442
282013.jpg,382,512,Pizza,10,76,369,469
2581276.jpg,512,512,Pizza,37,37,488,466
1504421.jpg,512,307,Pizza,26,9,486,299
1248478.jpg,512,306,Pizza,8,16,496,306
665900.jpg,512,384,Pizza,23,54,512,357
1265335.jpg,512,341,Pizza,114,73,421,286
93961.jpg,384,512,Pizza,1,72,378,408
1468795.jpg,512,512,Pizza,29,83,512,471
2995731.jpg,512,512,Pizza,8,11,499,512
1899785.jpg,512,512,Pizza,15,8,417,500
2142812.jpg,512,384,Pizza,70,102,478,379
329302.jpg,382,512,Pizza,38,231,284,473
3713343.jpg,512,512,Pizza,4,28,512,503
3066951.jpg,512,512,Pizza,15,34,512,484
195160.jpg,512,384,Pizza,94,140,424,347
3168266.jpg,384,512,Pizza,6,146,384,435
228778.jpg,382,512,Pizza,43,161,368,457
1843754.jpg,512,341,Pizza,1,142,430,340
861771.jpg,384,512,Pizza,7,90,382,512
920595.jpg,512,384,Pizza,51,84,500,382
5764.jpg,512,384,Pizza,19,82,504,354
2456207.jpg,512,384,Pizza,68,26,421,375
68684.jpg,512,384,Pizza,1,34,512,341
1110966.jpg,512,512,Pizza,31,63,508,431
3084957.jpg,512,512,Pizza,43,110,484,406
3530210.jpg,512,512,Pizza,1,51,507,445
1054420.jpg,306,512,Pizza,9,120,306,333
1608000.jpg,512,512,Pizza,44,29,499,453
1344966.jpg,512,512,Pizza,29,82,410,512
966644.jpg,512,512,Pizza,62,1,460,511
140031.jpg,512,384,Pizza,18,59,500,338
2877565.jpg,512,341,Pizza,54,126,432,333
1315645.jpg,512,512,Pizza,35,6,490,512
