filename,width,height,class,xmin,ymin,xmax,ymax
139558.jpg,512,382,Burger,245,34,489,283
65141.jpg,512,384,Burger,99,59,460,317
861844.jpg,512,512,Burger,36,163,424,440
330628.jpg,512,384,Burger,296,85,512,243
54507.jpg,512,384,Burger,1,1,263,314
91602.jpg,383,512,Burger,21,153,343,429
145378.jpg,512,384,Burger,145,155,404,384
419342.jpg,512,287,Burger,96,1,436,264
585430.jpg,512,512,Burger,16,37,512,497
825337.jpg,512,383,Burger,92,21,472,361
315121.jpg,512,384,Burger,68,95,343,311
209001.jpg,384,512,Burger,78,254,282,460
406390.jpg,512,306,Burger,98,60,401,231
398340.jpg,512,306,Burger,210,64,487,281
73783.jpg,512,383,Burger,1,2,377,382
629268.jpg,512,512,Burger,6,12,512,351
816775.jpg,512,512,Burger,44,15,504,512
250782.jpg,382,512,Burger,17,219,217,397
747666.jpg,379,512,Burger,157,60,379,324
607735.jpg,384,512,Burger,48,1,351,308
81732.jpg,384,512,Burger,1,135,315,442
256294.jpg,512,382,Burger,156,115,436,382
76817.jpg,512,384,Burger,24,5,325,264
529449.jpg,512,512,Burger,60,157,464,498
639977.jpg,512,512,Burger,45,13,512,458
703677.jpg,512,340,Burger,138,64,402,278
764175.jpg,384,512,Burger,25,91,363,314
484022.jpg,512,512,Burger,50,45,512,469
169479.jpg,512,382,Burger,29,1,490,306
402245.jpg,512,512,Burger,1,31,456,488
587018.jpg,306,512,Burger,19,302,172,464
950766.jpg,512,512,Burger,99,104,427,370
509480.jpg,512,382,Burger,46,1,467,318
585443.jpg,512,306,Burger,249,5,484,190
634096.jpg,512,340,Burger,113,44,392,276
159304.jpg,382,512,Burger,65,110,381,396
102005.jpg,382,512,Burger,104,256,332,486
579852.jpg,512,512,Burger,106,76,509,390
79711.jpg,383,512,Burger,20,162,321,405
157688.jpg,512,382,Burger,57,1,439,326
110991.jpg,512,382,Burger,5,54,290,318
50638.jpg,512,384,Burger,215,77,433,219
775003.jpg,512,306,Burger,100,1,430,280
243709.jpg,512,384,Burger,26,134,261,360
243709.jpg,512,384,Burger,270,116,512,359
577673.jpg,512,384,Burger,239,220,462,384
577673.jpg,512,384,Burger,1,217,231,381
697639.jpg,512,384,Burger,113,28,478,315
243204.jpg,512,511,Burger,187,273,439,470
417861.jpg,512,329,Burger,39,5,468,329
339960.jpg,512,382,Burger,236,137,409,306
423924.jpg,512,512,Burger,33,123,380,426
215037.jpg,512,333,Burger,52,10,393,311
72111.jpg,512,384,Burger,30,9,512,379
330566.jpg,382,512,Burger,55,226,324,430
130598.jpg,382,512,Burger,24,1,382,317
580186.jpg,512,512,Burger,131,88,512,436
930645.jpg,512,512,Burger,14,13,497,421
47595.jpg,384,512,Burger,49,216,366,509
245244.jpg,512,415,Burger,73,110,252,279
719858.jpg,512,512,Burger,27,30,512,484
960781.jpg,512,384,Burger,163,19,477,303
184751.jpg,382,512,Burger,18,109,315,377
656458.jpg,512,512,Burger,1,42,512,452
821346.jpg,512,306,Burger,96,17,399,295
109961.jpg,512,382,Burger,33,1,487,322
598436.jpg,512,512,Burger,62,215,389,476
83196.jpg,384,512,Burger,24,35,348,436
81707.jpg,512,384,Burger,91,11,457,327
922386.jpg,512,384,Burger,123,79,397,312
333517.jpg,512,512,Burger,27,1,387,379
70019.jpg,512,384,Burger,128,58,410,356
378487.jpg,384,512,Burger,79,34,384,365
418104.jpg,512,512,Burger,46,63,412,419
782295.jpg,306,512,Burger,98,251,306,434
608198.jpg,512,512,Burger,217,91,512,443
81813.jpg,512,383,Burger,192,139,373,306
91566.jpg,512,384,Burger,51,83,288,355
787142.jpg,512,360,Burger,246,1,497,198
543722.jpg,512,512,Burger,179,1,512,384
697480.jpg,512,384,Burger,56,7,471,297
535451.jpg,512,512,Burger,6,111,375,439
166566.jpg,382,512,Burger,39,154,382,441
345291.jpg,382,512,Burger,71,159,343,375
184955.jpg,512,382,Burger,281,92,469,263
298239.jpg,382,512,Burger,18,96,366,395
310724.jpg,382,512,Burger,36,180,224,340
68979.jpg,384,512,Burger,106,111,372,411
68979.jpg,384,512,Burger,167,2,285,121
629010.jpg,512,512,Burger,8,23,512,394
986085.jpg,512,340,Burger,70,73,448,323
100517.jpg,384,512,Burger,34,73,360,378
593030.jpg,512,512,Burger,6,100,445,476
724367.jpg,512,341,Burger,118,38,311,232
730040.jpg,512,384,Burger,1,93,204,315
177861.jpg,512,512,Burger,18,38,453,456
166940.jpg,343,512,Burger,1,180,309,497
825243.jpg,512,512,Burger,132,104,455,440
72266.jpg,512,512,Burger,56,207,290,441
72266.jpg,512,512,Burger,302,198,512,443
